activity_code,subject_id,trial,age_group,acc1_magnitude_mean,acc1_magnitude_std,acc1_magnitude_max,acc1_magnitude_min,gyro_magnitude_mean,gyro_magnitude_std,gyro_magnitude_max,gyro_magnitude_min,acc1_jerk_max,acc1_jerk_mean,fall_event
D01,SA01,01,adult,1.0558486048021594,0.21491810532368522,2.0458348084526676,0.6032469314895539,37.87087981992689,14.1982501856384,96.52209683532743,2.1819534828759126,0.21984907391787467,0.03263795524363138,0
D02,SA01,01,adult,1.0924573984660937,0.39110742071694743,2.8104294678830337,0.4451925551183583,57.01521216957565,22.892503512786156,152.8685651019063,1.9281700438148577,0.49277458679052333,0.05794729706408337,0
D03,SA01,01,adult,1.2442509941322004,0.7876132910170263,3.730296952850445,0.01953125,91.06483558614792,25.697010722173857,213.2980053646558,6.026429715818911,0.8269581352591593,0.10404489151525137,0
D04,SA01,01,adult,1.4494258076274218,0.9458638367232417,4.867565256708975,0.05647200115156625,118.74418355486472,40.26261522033515,365.90031483774277,3.682904014049216,1.1364664853680835,0.15356566120418572,0
D05,SA01,01,adult,1.0413311932230622,0.17502869988574965,2.0410146904902167,0.6281293726526904,26.0780263954433,19.69901901891925,115.14487265978732,0.3610888539489512,0.14989377111623137,0.015614733805349064,0
D05,SA01,02,adult,1.0384159372846116,0.1541343519762754,1.826024601347573,0.47441241412074686,25.908941600479004,17.30636773359587,99.17910527242086,1.0393912576859377,0.14382420684594877,0.015347128425874912,0
D05,SA01,03,adult,1.03885411130052,0.15044394793627316,1.9684438315999933,0.6956525678218888,25.946504216562197,18.271854232189572,117.85082638883331,0.9316612257369231,0.1473115341026323,0.0150056174943996,0
D05,SA01,04,adult,1.0397689155956835,0.1564499873918362,1.9455909376535674,0.6960582377305077,25.35013192103265,16.200129598450566,110.24392203577034,1.4673846777552866,0.14942607525496454,0.015410671436405385,0
D05,SA01,05,adult,1.0387768718392643,0.1477657144094648,2.327030206094911,0.6738932260218417,25.758541808317187,17.624523424736037,127.1345309667224,0.7598815672600545,0.21638159328066742,0.014669711096891198,0
D06,SA01,01,adult,1.0809408252826138,0.44139858231695633,4.528605774813245,0.0750366121574162,28.098746078567014,37.33917395858793,207.9617713513971,0.5179004745018658,0.6622484548179652,0.03205813023729085,0
